#,Set Name,Prime Form,Vector,Description
43,4-12,346,112101,Major-third Diminished Tetrachord
44,4-13,136,112011,Minor-second Diminished Tetrachord
45,4-13,356,112011,Perfect-fourth Diminished Tetrachord
46,4-14,237,111120,Major-second Minor Tetrachord
47,4-14,457,111120,Perfect-fourth Major Tetrachord
48,4-Z15,146,111111,All-interval Tetrachord.1
49,4-Z15,256,111111,All-interval Tetrachord.2
50,4-16,157,110121,Minor-second Quartal Tetrachord
51,4-16,267,110121,Tritone Quartal Tetrachord
52,4-17,347,102210,Major-minor Tetramirror
53,4-18,147,102111,Major-diminished Tetrachord
54,4-18,367,102111,Minor-diminished Tetrachord
55,4-19,148,101310,Minor-augmented Tetrachord
56,4-19,348,101310,Augmented-major Tetrachord
57,4-20,158,101220,Major-seventh Chord
58,4-21,246,30201,Whole-tone Tetramirror
59,4-22,247,21120,Major-second Major Tetrachord
60,4-22,357,21120,Perfect-fourth Minor Tetrachord
61,4-23,257,21030,Quartal Tetramirror
62,4-24,248,20301,Augmented Seventh Chord
63,4-25,268,20202,French-sixth Chord
64,4-26,358,12120,Minor-seventh Chord
65,4-27,258,12111,Half-diminished Seventh Chord
66,4-27,368,12111,Dominant-seventh/German-sixth Chord
67,4-28,369,4002,Diminished-seventh Chord
68,4-Z29,137,111111,All-interval Tetrachord.3
69,4-Z29,467,111111,All-interval Tetrachord.4
70,5-1,1234,432100,Chromatic Pentamirror
71,5-2,1235,332110,Major-second Pentacluster.2
72,5-2,2345,332110,Major-second Pentacluster.1
73,5-3,1245,322210,Minor-second Major Pentachord
74,5-3,1345,322210,Spanish Pentacluster
75,5-4,1236,322111,Blues Pentacluster
76,5-4,3456,322111,Minor-third Pentacluster
77,5-5,1237,321121,Major-third Pentacluster.2
78,5-5,4567,321121,Major-third Pentacluster.1
79,5-6,1256,311221,"Oriental Pentacluster.1, Raga Megharanji (13161)"
80,5-6,1456,311221,Oriental Pentacluster.2
81,5-7,1267,310132,"DoublePentacluster.1, Raga Nabhomani (11415)"
82,5-7,1567,310132,Double Pentacluster.2
83,5-8,2346,232201,Tritone-Symmetric Pentamirror
84,5-9,1246,231211,Tritone-Expanding Pentachord
85,5-9,2456,231211,Tritone-Contracting Pentachord
86,5-10,1346,223111,Alternating Pentachord.1
87,5-10,2356,223111,Alternating Pentachord.2
88,5-11,2347,222220,Center-cluster Pentachord.1
89,5-11,3457,222220,Center-cluster Pentachord.2
90,5-Z12,1356,222121,Locrian Pentamirror
91,5-13,1248,221311,Augmented Pentacluster.1
92,5-13,2348,221311,Augmented Pentacluster.2
93,5-14,1257,221131,Double-seconds Triple-fourth Pentachord.1
94,5-14,2567,221131,Double-seconds Triple-fourth Pentachord.2
95,5-15,1268,220222,Assymetric Pentamirror
96,5-16,1347,213211,Major-minor-dim Pentachord.1
97,5-16,3467,213211,Major-minor-dim Pentachord.2
98,5-Z17,1348,212320,Minor-major Ninth Chord
99,5-Z18,1457,212221,Gypsy Pentachord.1
100,5-Z18,2367,212221,Gypsy Pentachord.2
101,5-19,1367,212122,Javanese Pentachord
102,5-19,1467,212122,Balinese Pentachord
103,5-20,1378,211231,"Balinese Pelog Pentatonic (12414), Raga Bhupala, Raga Bibhas"
104,5-20,1578,211231,"Hirajoshi Pentatonic (21414), Iwato (14142), Sakura/Raga Saveri (14214)"
105,5-21,1458,202420,"Syrian Pentatonic/Major-augmented Ninth Chord, Raga Megharanji (13134)"
106,5-21,3478,202420,Lebanese Pentachord/Augmented-minor Chord
107,5-22,1478,202321,"Persian Pentamirror, Raga reva/Ramkali (13314)"
108,5-23,2357,132130,Minor Pentachord
109,5-23,2457,132130,Major Pentachord
110,5-24,1357,131221,Phrygian Pentachord
111,5-24,2467,131221,Lydian Pentachord
112,5-25,2358,123121,Diminished-major Ninth Chord
113,5-23,3568,123121,Minor-diminished Ninth Chord
114,5-26,2458,122311,Diminished-augmented Ninth Chord
115,5-26,3468,122311,Augmented-diminished Ninth Chord
116,5-27,1358,122230,Major-Ninth Chord
117,5-27,3578,122230,Minor-Ninth Chord
118,5-28,2368,122212,Augmented-sixth Pentachord.1
119,5-28,2568,122212,Augmented-sixth Pentachord.2
120,5-29,1368,122131,Kumoi Pentachord.2
121,5-29,2578,122131,Kumoi Pentachord.1
122,5-30,1468,121321,Enigmatic Pentachord.1
123,5-30,2478,121321,"Enigmatic Pentachord.2, Altered Pentatonic (14223)"
124,5-31,1369,114112,Diminished Minor-Ninth Chord
125,5-31,2369,114112,Ranjaniraga/Flat-Ninth Pentachord
126,5-32,1469,113221,Neapolitan Pentachord.1
